Actual Price,Predicted Price
459,399.8564644
392,387.4016908
393,394.705391
393,394.1650691
393,392.5441034
382,316.0313253
475,473.5918197
276,361.5831898
279,282.6682447
241,270.1026768
393,395.2457129
220,203.1190706
280,323.385203
175,217.3910379
249,239.3606023
263,259.2814667
431,429.1764136
266,263.6452875
338,337.1826511
457,429.7709226
235,232.0632081
266,262.7192887
336,337.1035299
263,260.8379569
337,306.3176159
295,299.9554609
360,341.0526675
246,248.764814
438,405.7623508
246,248.494653
289,287.4956659
305,334.0405265
360,344.5647598
288,293.8095641
337,307.3982597
228,264.0705908
263,261.9186007
421,421.1736749
328,330.4314485
319,327.7576647
222,198.8828267
336,335.2124033
421,393.477652
336,341.1559441
207,206.7112536
265,260.9580151
328,300.6899661
328,298.5286785
148,129.7275444
212,257.7939763
263,261.1081178
258,251.3001171
475,471.1603712
230,222.818299
220,202.8489096
240,237.5685515
392,386.591208
270,304.4007234
421,418.7422264
226,265.9532905
421,419.2825483
393,390.1126549
390,426.7360563
266,268.4845131
431,431.3377012
330,330.5403219
147,146.247798
289,291.0077582
243,245.6328464
260,251.0038157
475,470.0797274
240,248.9558613
246,246.0632045
360,345.3752427
436,419.2148875
388,381.2827564
450,495.6008797
234,257.953959
252,240.5425643
446,438.243848
229,226.7880491
328,324.7580687
243,240.405068
246,242.5511122
221,208.1974608
270,264.2444414
325,340.9650643
212,256.9834935
305,291.155004
263,259.4871522
258,257.9083011
336,337.6438518
421,431.0491328
255,257.171185
243,250.4957434
475,472.241015
459,401.4774301
250,246.692244
374,352.8064107
240,242.9717704
446,440.9454575
243,247.523973
393,396.0561957
360,342.1333113
276,224.2064757
328,298.7988395
280,322.8448811
410,440.1641009
374,353.6168935
276,320.6341083
278,290.9196689
495,436.5867729
718,571.4767296
392,387.9420127
431,427.8256089
328,333.9954715
446,437.4333652
322,337.3095278
392,386.0508861
393,391.7336206
202,196.0293182
252,253.3095683
276,224.7467976
392,384.1597595
212,253.7415621
235,246.3119815
446,393.8243784
399,405.21018
212,258.0641373
298,295.7818804
239,237.9038903
559,477.8831882
459,495.0102979
390,459.5627128
291,271.1533325
421,391.4846543
298,291.1891443
276,287.592765
998,1193.225516
229,204.329796
328,294.7464253
263,258.9468303
459,401.2072691
459,398.2354987
235,192.3758996
265,265.2805902
266,267.0418639
266,263.2596106
305,291.6953259
459,398.5056597
305,290.6146821
211,215.1034717
360,346.9962083
301,285.3803059
263,263.5395663
350,332.0704512
358,361.0008535
360,345.1050817
392,382.8089548
266,267.5821857
489,450.3119102
266,266.7717029
386,425.681553
263,261.6484397
262,264.4212477
360,336.6073855
266,266.6929097
251,240.1874308
243,247.2538121
289,287.225505
459,398.7758206
228,233.546624
629,627.9757816
398,390.2642606
235,245.094736
237,233.3137969
393,391.4634596
368,343.5867267
884,887.7822532
212,256.7133326
393,393.0844253
629,631.7580348
360,342.9437942
235,245.364897
106,79.30603094
318,289.88378
443,436.7655845
233,229.5462169
309,323.5749832
729,660.7830816
380,355.8725305
388,371.9631478
336,338.9946565
120,126.5980734
452,441.2003751
507,509.127268
237,233.043636
329,325.6866324
153,125.3001486
420,376.3821447
